1,"Two Sum",Easy,https://leetcode.com/problems/two-sum,2025-01-06
2,"Valid Parentheses",Easy,https://leetcode.com/problems/valid-parentheses,2025-01-07
3,"Best Time to Buy and Sell Stock",Easy,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,2025-01-09
4,"Is Subsequence",Easy,https://leetcode.com/problems/is-subsequence,2025-01-15
5,"Coin Change",Medium,https://leetcode.com/problems/coin-change,2025-01-20
6,"Search in Rotated Sorted Array",Medium,https://leetcode.com/problems/search-in-rotated-sorted-array,2025-01-25
7,"Container With Most Water",Medium,https://leetcode.com/problems/container-with-most-water,2025-02-01
8,"Trapping Rain Water",Hard,https://leetcode.com/problems/trapping-rain-water,2025-02-5
